name: frequency
time                     frequency
----                     ---------
2023-05-28T21:44:48.524Z 50.29453
2023-05-28T21:44:58.526Z 50.29173
2023-05-28T21:45:08.529Z 50.2941625
2023-05-28T21:45:18.528Z 50.2959625
2023-05-28T21:45:28.53Z  50.2490375
2023-05-28T21:45:38.532Z 50.2508375
2023-05-28T21:45:48.534Z 50.245545
2023-05-28T21:45:58.536Z 50.2509725
2023-05-28T21:46:08.54Z  50.2500225
2023-05-28T21:46:18.541Z 50.25511
2023-05-28T21:46:28.542Z 50.2532075
2023-05-28T21:46:38.544Z 50.2471975
2023-05-28T21:46:48.543Z 50.2473225
2023-05-28T21:46:58.548Z 50.242422499999996
2023-05-28T21:47:08.546Z 50.235375000000005
2023-05-28T21:47:18.548Z 50.2373725
2023-05-28T21:47:28.55Z  50.19217
2023-05-28T21:47:38.552Z 50.19039
2023-05-28T21:47:48.551Z 50.193597499999996
2023-05-28T21:47:58.555Z 50.18769
2023-05-28T21:48:08.555Z 50.134195000000005
2023-05-28T21:48:18.557Z 50.128392500000004
2023-05-28T21:48:28.56Z  50.1274775
2023-05-28T21:48:38.561Z 50.0989925
2023-05-28T21:48:48.564Z 50.0958125
2023-05-28T21:48:58.564Z 50.0989375
2023-05-28T21:49:08.564Z 50.097412500000004
2023-05-28T21:49:18.566Z 50.093157500000004
2023-05-28T21:49:28.567Z 50.0346925
2023-05-28T21:49:38.568Z 50.0340875
2023-05-28T21:49:48.57Z  50.039115
2023-05-28T21:49:58.57Z  50.042065
2023-05-28T21:50:08.572Z 50.008195
2023-05-28T21:50:18.571Z 50.0083025
2023-05-28T21:50:28.573Z 50.00805
2023-05-28T21:50:38.575Z 50.0129575
2023-05-28T21:50:48.576Z 50.0134825
2023-05-28T21:50:58.577Z 50.01627
2023-05-28T21:51:08.579Z 50.01196
2023-05-28T21:51:18.58Z  50.013397499999996
2023-05-28T21:51:28.585Z 50.018875
2023-05-28T21:51:38.583Z 49.9541375
2023-05-28T21:51:48.586Z 49.951535
2023-05-28T21:51:58.587Z 49.915315
2023-05-28T21:52:08.588Z 49.883455
2023-05-28T21:52:18.587Z 49.882467500000004
2023-05-28T21:52:28.589Z 49.880445
2023-05-28T21:52:38.59Z  49.826185
2023-05-28T21:52:48.591Z 49.8282625
2023-05-28T21:52:58.595Z 49.829395
2023-05-28T21:53:08.594Z 49.802465
2023-05-28T21:53:18.596Z 49.7961825
2023-05-28T21:53:28.598Z 49.8049175
2023-05-28T21:53:38.597Z 49.7988775
2023-05-28T21:53:48.6Z   49.7985525
2023-05-28T21:53:58.605Z 49.7999
2023-05-28T21:54:08.602Z 49.794444999999996
2023-05-28T21:54:18.603Z 49.7913725
2023-05-28T21:54:28.603Z 49.740435
2023-05-28T21:54:38.606Z 49.7413925
2023-05-28T21:54:48.605Z 49.741637499999996
2023-05-28T21:54:58.609Z 49.7438725
2023-05-28T21:55:08.609Z 49.772082499999996
2023-05-28T21:55:18.609Z 49.765535
2023-05-28T21:55:28.608Z 49.7656575
2023-05-28T21:55:38.612Z 49.7694975
2023-05-28T21:55:48.614Z 49.764615
2023-05-28T21:55:58.618Z 49.760485
2023-05-28T21:56:08.619Z 49.76504
2023-05-28T21:56:18.619Z 49.7634375
2023-05-28T21:56:28.622Z 49.766090000000005
2023-05-28T21:56:38.626Z 49.7685475
2023-05-28T21:56:48.628Z 49.771097499999996
2023-05-28T21:56:58.63Z  49.765195
2023-05-28T21:57:08.632Z 49.7627575
2023-05-28T21:57:18.634Z 49.759065
2023-05-28T21:57:28.636Z 49.757887499999995
2023-05-28T21:57:38.638Z 49.76258
2023-05-28T21:57:48.638Z 49.76987
2023-05-28T21:57:58.642Z 49.7692775
2023-05-28T21:58:08.645Z 49.767825
2023-05-28T21:58:18.646Z 49.7657825
2023-05-28T21:58:28.647Z 49.76858
2023-05-28T21:58:38.649Z 49.823895
2023-05-28T21:58:48.649Z 49.821619999999996
2023-05-28T21:58:58.652Z 49.82433
2023-05-28T21:59:08.654Z 49.821675
2023-05-28T21:59:18.655Z 49.8112075
2023-05-28T21:59:28.658Z 49.8091975
2023-05-28T21:59:38.66Z  49.8055025
2023-05-28T21:59:48.661Z 49.838485
2023-05-28T21:59:58.662Z 49.8404225
2023-05-28T22:00:08.666Z 49.841322500000004
2023-05-28T22:00:18.666Z 49.83871
2023-05-28T22:00:28.668Z 49.8379625
2023-05-28T22:00:38.672Z 49.835895
2023-05-28T22:00:48.672Z 49.8391
2023-05-28T22:00:58.673Z 49.8341125
2023-05-28T22:01:08.676Z 49.8350375
2023-05-28T22:01:18.677Z 49.833945
2023-05-28T22:01:28.68Z  49.881535
2023-05-28T22:01:38.685Z 49.8885525
2023-05-28T22:01:48.684Z 49.8889325
2023-05-28T22:01:58.685Z 49.88846
2023-05-28T22:02:08.692Z 49.890365
2023-05-28T22:02:18.691Z 49.889134999999996
2023-05-28T22:02:28.691Z 49.88626
2023-05-28T22:02:38.694Z 49.884865
2023-05-28T22:02:48.695Z 49.885059999999996
2023-05-28T22:02:58.697Z 49.882995
2023-05-28T22:03:08.7Z   49.88594
2023-05-28T22:03:18.704Z 49.88973
2023-05-28T22:03:28.703Z 49.94733
2023-05-28T22:03:38.708Z 49.946255
2023-05-28T22:03:48.708Z 49.941155
2023-05-28T22:03:58.71Z  49.9359325
2023-05-28T22:04:08.713Z 49.936195
2023-05-28T22:04:18.715Z 49.934619999999995
2023-05-28T22:04:28.715Z 49.936945
2023-05-28T22:04:38.719Z 49.971725
2023-05-28T22:04:48.72Z  49.97129
2023-05-28T22:04:58.72Z  49.9750175
2023-05-28T22:05:08.725Z 49.979325
2023-05-28T22:05:18.725Z 50.0129675
2023-05-28T22:05:28.726Z 50.005179999999996
2023-05-28T22:05:38.729Z 50.0105775
2023-05-28T22:05:48.729Z 50.01209
2023-05-28T22:05:58.734Z 50.009625
2023-05-28T22:06:08.735Z 50.01377
2023-05-28T22:06:18.735Z 50.0152225
2023-05-28T22:06:28.737Z 50.017665
2023-05-28T22:06:38.739Z 50.0173925
2023-05-28T22:06:48.741Z 50.071957499999996
2023-05-28T22:06:58.744Z 50.0755925
2023-05-28T22:07:08.747Z 50.072365000000005
2023-05-28T22:07:18.747Z 50.0676975
2023-05-28T22:07:28.749Z 50.065505
2023-05-28T22:07:38.75Z  50.06578
2023-05-28T22:07:48.752Z 50.0639375
2023-05-28T22:07:58.753Z 50.0592925
2023-05-28T22:08:08.757Z 50.109915
2023-05-28T22:08:18.756Z 50.11036
2023-05-28T22:08:28.758Z 50.162414999999996
2023-05-28T22:08:38.761Z 50.1632275
2023-05-28T22:08:48.762Z 50.16393
2023-05-28T22:08:58.764Z 50.1634175
2023-05-28T22:09:08.767Z 50.1666425
2023-05-28T22:09:18.767Z 50.1655325
2023-05-28T22:09:28.767Z 50.16938
2023-05-28T22:09:38.772Z 50.1637325
2023-05-28T22:09:48.773Z 50.1670825
2023-05-28T22:09:58.774Z 50.17147
2023-05-28T22:10:08.776Z 50.1702825
2023-05-28T22:10:18.776Z 50.173545
2023-05-28T22:10:28.776Z 50.1679425
2023-05-28T22:10:38.779Z 50.17116
2023-05-28T22:10:48.78Z  50.177147500000004
2023-05-28T22:10:58.781Z 50.1731425
2023-05-28T22:11:08.781Z 50.168065
2023-05-28T22:11:18.78Z  50.1724425
2023-05-28T22:11:28.781Z 50.1723675
2023-05-28T22:11:38.781Z 50.23626
2023-05-28T22:11:48.783Z 50.237715
2023-05-28T22:11:58.783Z 50.237015
2023-05-28T22:12:08.784Z 50.2372625
2023-05-28T22:12:18.784Z 50.235605
2023-05-28T22:12:28.784Z 50.234877499999996
2023-05-28T22:12:38.784Z 50.2367225
2023-05-28T22:12:48.783Z 50.242425
2023-05-28T22:12:58.784Z 50.23853
2023-05-28T22:13:08.786Z 50.235605
2023-05-28T22:13:18.786Z 50.238265
2023-05-28T22:13:28.789Z 50.2401575
2023-05-28T22:13:38.788Z 50.2399525
2023-05-28T22:13:48.788Z 50.24296
2023-05-28T22:13:58.791Z 50.24308
2023-05-28T22:14:08.796Z 50.2448375
2023-05-28T22:14:18.794Z 50.2477875
2023-05-28T22:14:28.796Z 50.25507
2023-05-28T22:14:38.799Z 50.25772
2023-05-28T22:14:48.799Z 50.2549025
2023-05-28T22:14:58.8Z   50.25831
2023-05-28T22:15:08.8Z   50.3164275
2023-05-28T22:15:18.801Z 50.31794
2023-05-28T22:15:28.803Z 50.27686
2023-05-28T22:15:38.805Z 50.271725
2023-05-28T22:15:48.805Z 50.26891
2023-05-28T22:15:58.806Z 50.262029999999996
2023-05-28T22:16:08.807Z 50.2051975
2023-05-28T22:16:18.807Z 50.201930000000004
2023-05-28T22:16:28.81Z  50.201930000000004
2023-05-28T22:16:38.812Z 50.1991625
2023-05-28T22:16:48.812Z 50.1971325
